"","pkg","pub_date"
"329","aihuman","2023-03-02"
"330","aimPlot","2016-04-22"
"331","aimsir17","2019-12-02"
"332","aion","2023-06-13"
"333","AIPW","2021-06-11"
"334","air","2023-11-17"
"335","aire.zmvm","2017-11-12"
"336","AirExposure","2024-08-29"
"337","airGR","2017-01-24"
"338","airGRdatasets","2022-12-12"
"339","airGRdatassim","2021-02-11"
"340","airGRiwrm","2022-03-08"
"341","airGRteaching","2018-03-16"
"342","aiRly","2020-03-19"
"343","AirMonitor","2022-03-31"
"344","airnow","2022-10-31"
"345","AirportProblems","2025-05-05"
"346","airportr","2018-10-06"
"347","airports","2020-06-29"
"348","airqualityES","2020-02-29"
"349","airr","2018-05-03"
"350","airship","2024-12-05"
"351","airt","2020-05-12"
"352","aiRthermo","2017-07-15"
"353","AIscreenR","2024-11-08"
"354","aisoph","2022-11-04"
"355","AIUQ","2023-11-14"
"356","ajv","2017-04-24"
"357","aka","2024-07-23"
"358","akc","2020-01-08"
"359","Ake","2015-03-30"
"360","akiFlagger","2020-12-04"
"361","akima","1998-08-20"
"362","akmbiclust","2020-09-24"
"363","alabama","2010-07-26"
"364","alakazam","2016-01-29"
"365","alarmdata","2024-02-28"
"366","ALassoSurvIC","2019-10-16"
"367","albatross","2020-09-25"
"368","aLBI","2024-07-09"
"369","albopictus","2018-03-19"
"370","alcoholSurv","2025-05-27"
"371","alcyon","2024-05-27"
"372","ald","2015-01-28"
"373","ALDqr","2013-05-15"
"374","aldvmm","2021-06-16"
"375","ale","2023-08-29"
"376","ALFAM2","2024-06-05"
"377","aLFQ","2013-09-13"
"378","alfr","2019-07-03"
"379","alfred","2017-06-06"
"380","algaeClassify","2019-05-20"
"381","AlgDesign","2004-02-02"
"382","AlgebraicHaploPackage","2015-10-31"
"383","algo","2020-06-24"
"384","algorithmia","2016-08-29"
"385","aliases2entrez","2019-10-06"
"386","alien","2024-04-11"
"387","align","2023-04-04"
"388","AlignLV","2024-10-04"
"389","alkahest","2022-09-15"
"390","allcontributors","2020-12-02"
"391","alleHap","2014-08-10"
"392","allelematch","2011-10-08"
"393","AlleleRetain","2012-07-16"
"394","AlleleShift","2021-01-29"
"395","AllelicSeries","2023-01-13"
"396","allestimates","2020-02-05"
"397","AllMetrics","2023-04-05"
"398","allMT","2023-04-20"
"399","allofus","2023-12-21"
"400","allomr","2022-11-22"
"401","Allspice","2022-02-18"
"402","ALLSPICER","2024-10-16"
"403","alluvial","2016-08-02"
"404","almanac","2020-05-27"
"405","alone","2023-01-20"
"406","alookr","2020-03-20"
"407","aloom","2023-11-28"
"408","alpaca","2018-07-31"
"409","alpha.correction.bh","2023-04-26"
"410","alphabetr","2017-01-28"
"411","alphaci","2022-10-11"
"412","alphahull","2022-03-16"
"413","alphaN","2023-01-12"
"414","alphaOutlier","2015-05-07"
"415","AlphaPart","2019-06-18"
"416","alphashape3d","2011-10-05"
"417","AlphaSimR","2018-10-12"
"418","alphastable","2018-06-15"
"419","alphavantager","2017-09-03"
"420","alqrfe","2022-09-20"
"421","alr4","2013-01-03"
"422","ALS","2008-08-06"
"423","ALSCPC","2013-09-07"
"424","altadata","2020-12-07"
"425","altair","2019-07-11"
"426","altdoc","2022-08-30"
"427","AlteredPQR","2023-06-10"
"428","alternativeROC","2025-06-11"
"429","altfuelr","2020-11-12"
"430","altmeta","2016-03-01"
"431","ALTopt","2015-01-17"
"432","altR2","2019-09-23"
"433","ALUES","2022-01-12"
"434","amadeus","2024-08-27"
"435","amanida","2021-05-14"
"436","amanpg","2021-07-26"
"437","amap","2002-11-30"
"438","amapGeocode","2020-10-01"
"439","amapro","2022-07-21"
"440","AMAPVox","2021-07-09"
"441","amazonadsR","2022-10-27"
"442","amazons3R","2022-12-13"
"443","amazonspR","2023-01-25"
"444","amberr","2023-12-13"
"445","ambient","2018-08-30"
"446","ambiorix","2021-01-27"
"447","ambit","2022-08-19"
"448","AMCP","2016-02-12"
"449","AMCTestmakeR","2017-03-29"
"450","Amelia","2007-03-25"
"451","amelie","2018-02-22"
"452","amen","2012-06-17"
"453","amerifluxr","2022-02-08"
"454","amerika","2019-05-03"
"455","AmesHousing","2017-09-26"
"456","ami","2023-06-06"
"457","AmigaFFH","2018-03-14"
"458","AMIM","2023-07-07"
"459","AMISforInfectiousDiseases","2025-01-20"
"460","ammiBayes","2022-02-08"
"461","ammistability","2018-08-13"
"462","AMModels","2017-02-02"
"463","AmmoniaConcentration","2016-12-05"
"464","aMNLFA","2018-04-12"
"465","AmoudSurv","2022-09-08"
"466","amp","2022-04-06"
"467","ampd","2016-11-03"
"468","AmpGram","2020-05-31"
"469","ampir","2019-12-06"
"470","AMPLE","2019-07-07"
"471","AmpliconDuo","2014-03-20"
"472","AMR","2018-02-22"
"473","amregtest","2024-04-12"
"474","amscorer","2024-07-10"
"475","amt","2018-02-08"
"476","amVennDiagram5","2024-07-31"
"477","AmyloGram","2016-09-24"
"478","anabel","2023-05-08"
"479","AnaCoDa","2018-01-11"
"480","Anaconda","2022-10-14"
"481","anacor","2007-12-21"
"482","Analitica","2025-06-14"
"483","analogsea","2015-10-02"
"484","analogue","2006-12-07"
"485","AnalysisLin","2024-01-27"
"486","analyzer","2020-06-30"
"487","ananke","2025-04-18"
"488","AnanseSeurat","2023-01-25"
"489","AncestryMapper","2012-10-01"
"490","AnchorRegression","2020-12-02"
"491","and","2022-07-18"
"492","andrews","2012-10-29"
"493","Andromeda","2020-05-11"
"494","andurinha","2020-08-13"
"495","anesrake","2010-05-07"
"496","AnglerCreelSurveySimulation","2015-01-04"
"497","angstromATE","2024-07-05"
"498","angstroms","2017-05-01"
"499","aniDom","2017-04-29"
"500","anim.plots","2014-11-06"
"501","animalEKF","2020-10-05"
"502","AnimalHabitatNetwork","2019-11-25"
"503","AnimalSequences","2024-09-23"
"504","animate","2023-02-03"
"505","animation","2007-11-11"
"506","animbook","2023-12-05"
"507","animint2","2019-07-18"
"508","animl","2022-03-23"
"509","anipaths","2017-10-10"
"510","aniSNA","2023-02-17"
"511","aniview","2020-03-31"
"512","anMC","2017-05-05"
"513","ANN2","2017-10-14"
"514","anndata","2020-11-04"
"515","annmatrix","2023-05-02"
"516","AnnoProbe","2021-06-21"
"517","annotater","2022-06-15"
"518","AnnotationBustR","2017-03-02"
"519","annotator","2022-11-23"
"520","AnnuityRIR","2017-11-03"
"521","anocva","2016-12-28"
"522","ANOFA","2023-11-17"
"523","anoint","2012-04-24"
"524","ANOM","2015-10-13"
"525","anomalize","2018-04-06"
"526","anomaly","2018-06-30"
"527","AnomalyScore","2024-11-21"
"528","anominate","2014-04-13"
"529","anomo","2024-09-13"
"530","ANOPA","2024-03-22"
"531","ANOVAIREVA","2019-10-16"
"532","ANOVAShiny","2019-05-01"
"533","ANOVAShiny2","2020-08-27"
"534","anovir","2020-10-24"
"535","anscombiser","2020-10-12"
"536","ANSM5","2024-05-28"
"537","AntAngioCOOL","2016-08-01"
"538","antaresEditObject","2018-12-21"
"539","antaresProcessing","2017-04-06"
"540","antaresRead","2017-04-03"
"541","antaresViz","2017-04-20"
"542","anthro","2019-03-23"
"543","anthroplus","2021-11-24"
"544","AnthropMMD","2013-02-05"
"545","Anthropometry","2014-03-07"
"546","AntibodyForests","2025-01-23"
"547","AntibodyTiters","2021-09-30"
"548","anticlust","2020-06-29"
"549","antitrust","2012-10-23"
"550","antiword","2017-04-22"
"551","AntMAN","2019-10-28"
"552","AnxietySleep","2022-12-12"
"553","anybadger","2021-01-29"
"554","anyflights","2018-07-31"
"555","anyLib","2018-07-20"
"556","anytime","2016-09-13"
"557","ao","2021-06-21"
"558","AOboot","2024-09-03"
"559","aod","2005-06-08"
"560","aods3","2013-05-07"
"561","aoos","2014-11-05"
"562","aopdata","2021-03-08"
"563","Aoptbdtvc","2017-11-22"
"564","aoristic","2013-09-13"
"565","aorsf","2022-08-23"
"566","aos","2020-04-29"
"567","AOUSDOHtools","2025-03-26"
"568","AOV1R","2020-11-10"
"569","AovBay","2021-07-22"
"570","apa","2016-08-19"
"571","apache.sedona","2021-10-11"
"572","ApacheLogProcessor","2015-05-28"
"573","APackOfTheClones","2023-05-09"
"574","apaTables","2015-08-28"
"575","apaText","2018-04-16"
"576","apc","2014-08-30"
"577","APCalign","2023-10-11"
"578","APCanalysis","2017-11-07"
"579","apcf","2019-01-11"
"580","APCI","2021-01-09"
"581","apcluster","2010-03-02"
"582","aPCoA","2020-03-25"
"583","APCtools","2022-01-05"
"584","apdesign","2016-11-15"
"585","ape","2002-08-31"
"586","apercu","2017-04-26"
"587","apex","2015-04-15"
"588","apexcharter","2019-07-28"
"589","APFr","2019-06-18"
"590","aphid","2017-06-24"
"591","api2lm","2022-09-30"
"592","APIS","2019-08-19"
"593","apisensr","2021-03-11"
"594","aplore3","2014-12-21"
"595","aplot","2020-03-30"
"596","aplotExtra","2023-08-25"
"597","aplpack","2006-04-15"
"598","apm","2025-03-10"
"599","apmx","2024-01-09"
"600","apng","2017-05-25"
"601","Apoderoides","2024-01-11"
"602","apollo","2019-01-16"
"603","appeears","2023-05-22"
"604","APPEstimation","2018-01-05"
"605","appleadsR","2022-11-10"
"606","applicable","2020-06-15"
"607","AppliedPredictiveModeling","2013-05-30"
"608","ApplyPolygenicScore","2025-03-05"
"609","appnn","2015-07-12"
"610","apportion","2023-02-16"
"611","appRiori","2023-02-24"
"612","approximator","2009-07-18"
"613","approxmatch","2017-11-05"
"614","approxOT","2022-01-14"
"615","appsflyeR","2022-12-02"
"616","appsheet","2023-09-18"
"617","aprean3","2014-12-26"
"618","aprof","2013-10-31"
"619","apsimx","2020-07-01"
"620","apt","2011-02-05"
"621","APTIcalc","2025-05-29"
"622","APtools","2016-06-23"
"623","apyramid","2020-01-13"
"624","AQEval","2022-04-14"
"625","aqfig","2011-06-20"
"626","AQLSchemes","2020-04-14"
"627","aqp","2010-05-09"
"628","AquaAnalytix","2024-09-11"
"629","AquaBEHER","2023-03-31"
"630","AQuadtree","2020-03-13"
"631","AquaEnv","2009-03-31"
"632","AQuality","2024-05-15"
"633","AquaticLifeHistory","2023-11-17"
"634","aquodom","2021-05-05"
"635","AR","2017-05-18"
"636","ar.matrix","2018-12-02"
"637","arabic2kansuji","2021-01-05"
"638","arabicStemR","2016-06-04"
"639","arakno","2021-06-08"
"640","ArArRedux","2015-04-29"
"641","arc","2016-09-07"
"642","ARCensReg","2016-05-16"
"643","arcgeocoder","2024-01-15"
"644","arcgis","2024-03-05"
"645","arcgisgeocode","2024-05-25"
"646","arcgislayers","2024-02-27"
"647","arcgisplaces","2024-05-15"
"648","arcgisutils","2024-01-11"
"649","ArchaeoPhases","2017-02-07"
"650","ArchaeoPhases.dataset","2020-06-04"
"651","archdata","2014-07-15"
"652","archeofrag","2020-11-27"
"653","archeofrag.gui","2025-01-08"
"654","archeoViz","2023-01-10"
"655","archetypal","2019-06-13"
"656","archetyper","2021-03-17"
"657","archetypes","2009-04-15"
"658","archiDART","2014-12-05"
"659","archive","2021-06-30"
"660","archiveRetriever","2021-03-10"
"661","archivist","2014-08-30"
"662","ArCo","2017-04-04"
"663","ARCokrig","2020-07-08"
"664","arcpbf","2023-11-09"
"665","arcpullr","2021-01-16"
"666","arcpy","2024-01-22"
"667","arctools","2020-11-27"
"668","ArDec","2005-10-11"
"669","ARDECO","2023-11-28"
"670","ARDL","2020-04-10"
"671","ardl.nardl","2022-11-04"
"672","ards","2023-03-21"
"673","area","2023-04-04"
"674","areabiplot","2021-03-10"
"675","areal","2018-12-31"
"676","arealDB","2020-07-01"
"677","areaplot","2017-10-10"
"678","arena2r","2018-10-19"
"679","arenar","2020-07-27"
"680","arf","2022-12-16"
"681","arfima","2012-12-16"
"682","Argentum","2024-09-30"
"683","argo","2019-04-05"
"684","argoFloats","2021-09-15"
"685","argonDash","2018-12-03"
"686","argonR","2018-11-18"
"687","ARGOS","2023-12-21"
"688","argosfilter","2007-08-14"
"689","argparse","2013-01-29"
"690","argparser","2014-05-30"
"691","argus","2022-08-15"
"692","ARHT","2018-03-27"
"693","ari","2017-08-31"
"694","ARIbrain","2018-07-31"
"695","aricode","2018-05-02"
"696","AriGaMyANNSVR","2023-04-13"
"697","arima2","2023-10-05"
"698","ARIMAANN","2022-10-13"
"699","arkdb","2018-08-20"
"700","arkhe","2019-12-18"
"701","arlclustering","2024-09-11"
"702","arm","2007-01-01"
"703","ARMALSTM","2024-02-28"
"704","armspp","2019-04-04"
"705","aroma.affymetrix","2009-06-29"
"706","aroma.apd","2009-06-14"
"707","aroma.cn","2010-05-16"
"708","aroma.core","2009-06-16"
"709","Arothron","2018-04-03"
"710","ARpLMEC","2019-01-09"
"711","ARPobservation","2014-05-30"
"712","arpr","2019-01-19"
"713","aRpsDCA","2014-04-04"
"714","arrangements","2018-01-10"
"715","arrApply","2016-02-15"
"716","arrayhelpers","2011-08-05"
"717","arrg","2024-09-25"
"718","arrow","2019-08-09"
"719","arrowheadr","2024-06-10"
"720","ars","2007-02-28"
"721","arse","2019-05-10"
"722","arsenal","2016-12-30"
"723","ART","2015-08-13"
"724","arthistory","2022-05-03"
"725","artma","2025-04-12"
"726","ARTofR","2021-10-03"
"727","ARTool","2014-12-02"
"728","artpack","2023-08-24"
"729","aRtsy","2021-08-16"
"730","ARTtransfer","2024-10-24"
"731","arulesCBA","2016-09-26"
"732","arulesNBMiner","2009-03-27"
"733","arulesSequences","2007-06-27"
"734","arulesViz","2010-12-17"
"735","ARUtools","2024-04-18"
"736","aRxiv","2014-09-18"
"737","asaur","2016-02-17"
"738","asbio","2010-01-04"
"739","ascentTraining","2022-04-27"
"740","ascii","2009-04-14"
"741","asciicast","2019-12-13"
"742","asciichartr","2020-06-14"
"743","asciiruler","2018-01-30"
"744","asciiSetupReader","2017-09-07"
"745","ascotraceR","2021-12-20"
"746","asd","2012-10-29"
"747","asdreader","2015-09-24"
"748","ASGS.foyer","2018-03-21"
"749","ash","1999-04-21"
"750","ashapesampler","2024-01-30"
"751","ashr","2016-12-27"
"752","asht","2015-07-11"
"753","AsioHeaders","2016-01-07"
"754","askgpt","2023-03-31"
"755","askpass","2019-01-02"
"756","aslib","2020-05-24"
"757","asm","2024-04-25"
"758","ASMap","2014-09-30"
"759","ASMbook","2024-07-31"
"760","asmbPLS","2023-04-17"
"761","ASML","2025-02-19"
"762","asnipe","2016-01-07"
"763","aspace","2006-05-30"
"764","aspect","2009-03-14"
"765","aspi","2016-09-20"
"766","aspline","2021-09-28"
"767","aSPU","2015-05-28"
"768","asremlPlus","2015-06-06"
"769","ASRgenomics","2022-11-22"
"770","ASSA","2018-05-14"
"771","assert","2020-10-24"
"772","assertable","2017-01-14"
"773","assertHE","2025-04-24"
"774","assertions","2023-06-02"
"775","assertr","2015-03-24"
"776","assertthat","2013-12-06"
"777","assessor","2024-01-28"
"778","AssetCorr","2018-06-06"
"779","AssetPricing","2012-11-07"
"780","assignPOP","2016-12-29"
"781","assignR","2019-11-06"
"782","assist","2004-02-13"
"783","ASSISTant","2016-05-02"
"784","AssocBin","2023-11-23"
"785","assocInd","2017-07-05"
"786","assortnet","2016-01-07"
"787","AST","2018-08-16"
"788","ast2ast","2022-03-14"
"789","aster","2005-07-22"
"790","aster2","2010-11-03"
"791","asteRisk","2021-03-23"
"792","astgrepr","2025-06-04"
"793","AsthmaNHANES","2021-04-13"
"794","astrochron","2014-07-20"
"795","astroFns","2012-07-06"
"796","astsa","2012-06-21"
"797","asus","2017-10-25"
"798","ASV","2022-06-02"
"799","AsyK","2019-07-11"
"800","asylum","2021-09-06"
"801","asymLD","2016-01-30"
"802","AsymmetricSORDs","2022-04-28"
"803","asymmetry","2016-04-26"
"804","asymmetry.measures","2020-06-22"
"805","asympDiag","2025-03-26"
"806","asympTest","2008-10-21"
"807","asymptor","2020-10-22"
"808","AsynchLong","2015-02-22"
"809","ata","2020-05-04"
"810","atable","2018-09-13"
"811","ATAforecasting","2021-03-08"
"812","atakrig","2020-01-13"
"813","ATbounds","2021-11-24"
"814","ATE.ERROR","2024-09-10"
"815","AteMeVs","2023-09-04"
"816","Athlytics","2025-05-16"
"817","atime","2022-08-27"
"818","atlas","2018-05-29"
"819","atlasapprox","2024-10-25"
"820","AtlasMaker","2023-07-17"
"821","AtmChile","2021-05-04"
"822","atmopt","2018-10-28"
"823","ATNr","2022-02-07"
"824","atom4R","2022-02-02"
"825","atpolR","2022-08-31"
"826","ATQ","2024-07-27"
"827","ATR","2018-01-09"
"828","atRisk","2023-08-08"
"829","atrrr","2024-01-10"
"830","aTSA","2015-07-08"
"831","attachment","2019-05-05"
"832","attempt","2018-01-03"
"833","attention","2022-06-24"
"834","attenuation","2019-11-08"
"835","attrib","2021-03-30"
"836","AUC","2013-07-10"
"837","auctestr","2017-11-13"
"838","auctionr","2020-06-25"
"839","audio","2008-09-29"
"840","audiometry","2020-06-28"
"841","AudioScatter","2025-06-05"
"842","audit","2012-10-29"
"843","auditor","2018-05-11"
